Guia 4

1) a)   x|y|z|y'|(y'+z)|x'|x'.(y'+z)
	0|0|0|1 |1     |1 |1
	0|0|1|1	|1     |1 |1
	0|1|0|0 |0     |1 |0
	0|1|1|0 |1     |1 |1
	1|0|0|1 |1     |0 |0
	1|0|1|1 |1     |0 |0
	1|1|0|0 |0     |0 |0
	1|1|1|0 |1     |0 |0

b) 	x|y|z|x'|x'+y|(x'+y).z
	1|1|1|0 |1   |1
	1|1|0|0 |1   |0
 	1|0|1|0 |0   |0
 	1|0|0|0 |0   |0
	0|1|1|1 |1   |1
	0|1|0|1 |1   |0
	0|0|1|1 |1   |1
	0|0|0|1 |1   |0

c)	x|y|z|z'|x.y|(x.y).z'
	1|1|1|0 |1  |0
	1|1|0|1 |1  |1
	1|0|1|0 |0  |0
	1|0|0|1 |0  |0
	0|1|1|0 |0  |0
	0|1|0|1 |0  |0
	0|0|1|0 |0  |0
	0|0|0|1 |0  |0

d)	x|y|z|x'|y'|z'|(x'.y')|(x'.y').z'
	1|1|1|0 |0 |0 |0      |0
	1|0|1|0 |1 |0 |0      |0
	1|1|0|0 |0 |1 |0      |0
	1|0|0|0 |1 |1 |0      |0
	0|1|1|1 |0 |0 |0      |0
	0|0|1|1 |1 |0 |1      |0
	0|1|0|1 |0 |1 |0      |0
	0|0|0|1 |1 |1 |1      |1

e)	x|y|z|x'|x'+y|z'|y+z'|(x'+y).(y+z')
	1|0|1|0 |0   |0 |0   |0
	1|1|1|0 |1   |0 |1   |1
	1|0|0|0 |0   |1 |1   |0
	1|1|0|0 |1   |1 |1   |1
	0|0|1|1 |1   |0 |0   |0
	0|1|1|1 |1   |0 |1   |1
	0|0|0|1 |1   |1 |1   |1
	0|1|0|1 |1   |1 |1   |1

2) a) x'.(y+z') = (x'.y) + (x'.z')

3)


